Timestamp,Provider,Counter Name,Counter Type,Mean/Increment
31.1.2025 11.30.17,System.Runtime,Number of Methods Jitted,Metric,850
31.1.2025 11.30.18,System.Runtime,CPU Usage (%),Metric,0
31.1.2025 11.30.18,System.Runtime,Working Set (MB),Metric,38
31.1.2025 11.30.18,System.Runtime,GC Heap Size (MB),Metric,2
31.1.2025 11.30.18,System.Runtime,Gen 0 GC Count (Count / 1 sec),Rate,0
31.1.2025 11.30.18,System.Runtime,Gen 1 GC Count (Count / 1 sec),Rate,0
31.1.2025 11.30.18,System.Runtime,Gen 2 GC Count (Count / 1 sec),Rate,0
31.1.2025 11.30.18,System.Runtime,ThreadPool Thread Count,Metric,2
31.1.2025 11.30.18,System.Runtime,Monitor Lock Contention Count (Count / 1 sec),Rate,0
31.1.2025 11.30.18,System.Runtime,ThreadPool Queue Length,Metric,0
31.1.2025 11.30.18,System.Runtime,ThreadPool Completed Work Item Count (Count / 1 sec),Rate,9
31.1.2025 11.30.18,System.Runtime,Allocation Rate (B / 1 sec),Rate,1380392
31.1.2025 11.30.18,System.Runtime,Number of Active Timers,Metric,0
31.1.2025 11.30.18,System.Runtime,GC Fragmentation (%),Metric,0.09063052954123689
31.1.2025 11.30.18,System.Runtime,Exception Count (Count / 1 sec),Rate,0
31.1.2025 11.30.18,System.Runtime,% Time in GC since last GC (%),Metric,0
31.1.2025 11.30.18,System.Runtime,Gen 0 Size (B),Metric,24
31.1.2025 11.30.18,System.Runtime,Gen 1 Size (B),Metric,114840
31.1.2025 11.30.18,System.Runtime,Gen 2 Size (B),Metric,215872
31.1.2025 11.30.18,System.Runtime,LOH Size (B),Metric,24
31.1.2025 11.30.18,System.Runtime,POH (Pinned Object Heap) Size (B),Metric,39976
31.1.2025 11.30.18,System.Runtime,Number of Assemblies Loaded,Metric,138
31.1.2025 11.30.18,System.Runtime,IL Bytes Jitted (B),Metric,69024
31.1.2025 11.30.18,System.Runtime,Number of Methods Jitted,Metric,926
31.1.2025 11.30.19,System.Runtime,CPU Usage (%),Metric,0
31.1.2025 11.30.19,System.Runtime,Working Set (MB),Metric,38
31.1.2025 11.30.19,System.Runtime,GC Heap Size (MB),Metric,3
31.1.2025 11.30.19,System.Runtime,Gen 0 GC Count (Count / 1 sec),Rate,0
31.1.2025 11.30.19,System.Runtime,Gen 1 GC Count (Count / 1 sec),Rate,0
31.1.2025 11.30.19,System.Runtime,Gen 2 GC Count (Count / 1 sec),Rate,0
31.1.2025 11.30.19,System.Runtime,ThreadPool Thread Count,Metric,2
31.1.2025 11.30.19,System.Runtime,Monitor Lock Contention Count (Count / 1 sec),Rate,0
31.1.2025 11.30.19,System.Runtime,ThreadPool Queue Length,Metric,0
31.1.2025 11.30.19,System.Runtime,ThreadPool Completed Work Item Count (Count / 1 sec),Rate,9
31.1.2025 11.30.19,System.Runtime,Allocation Rate (B / 1 sec),Rate,1233240
31.1.2025 11.30.19,System.Runtime,Number of Active Timers,Metric,0
31.1.2025 11.30.19,System.Runtime,GC Fragmentation (%),Metric,0.09063052954123689
31.1.2025 11.30.19,System.Runtime,Exception Count (Count / 1 sec),Rate,0
31.1.2025 11.30.19,System.Runtime,% Time in GC since last GC (%),Metric,0
31.1.2025 11.30.19,System.Runtime,Gen 0 Size (B),Metric,24
31.1.2025 11.30.19,System.Runtime,Gen 1 Size (B),Metric,114840
31.1.2025 11.30.19,System.Runtime,Gen 2 Size (B),Metric,215872
31.1.2025 11.30.19,System.Runtime,LOH Size (B),Metric,24
31.1.2025 11.30.19,System.Runtime,POH (Pinned Object Heap) Size (B),Metric,39976
31.1.2025 11.30.19,System.Runtime,Number of Assemblies Loaded,Metric,147
31.1.2025 11.30.19,System.Runtime,IL Bytes Jitted (B),Metric,73988
31.1.2025 11.30.19,System.Runtime,Number of Methods Jitted,Metric,994
31.1.2025 11.30.20,System.Runtime,CPU Usage (%),Metric,0
31.1.2025 11.30.20,System.Runtime,Working Set (MB),Metric,39
31.1.2025 11.30.20,System.Runtime,GC Heap Size (MB),Metric,1
31.1.2025 11.30.20,System.Runtime,Gen 0 GC Count (Count / 1 sec),Rate,1
31.1.2025 11.30.20,System.Runtime,Gen 1 GC Count (Count / 1 sec),Rate,0
31.1.2025 11.30.20,System.Runtime,Gen 2 GC Count (Count / 1 sec),Rate,0
31.1.2025 11.30.20,System.Runtime,ThreadPool Thread Count,Metric,2
31.1.2025 11.30.20,System.Runtime,Monitor Lock Contention Count (Count / 1 sec),Rate,0
31.1.2025 11.30.20,System.Runtime,ThreadPool Queue Length,Metric,0
31.1.2025 11.30.20,System.Runtime,ThreadPool Completed Work Item Count (Count / 1 sec),Rate,9
31.1.2025 11.30.20,System.Runtime,Allocation Rate (B / 1 sec),Rate,1401072
31.1.2025 11.30.20,System.Runtime,Number of Active Timers,Metric,0
31.1.2025 11.30.20,System.Runtime,GC Fragmentation (%),Metric,0.07215750953509947
31.1.2025 11.30.20,System.Runtime,Exception Count (Count / 1 sec),Rate,0
31.1.2025 11.30.20,System.Runtime,% Time in GC since last GC (%),Metric,0
31.1.2025 11.30.20,System.Runtime,Gen 0 Size (B),Metric,24
31.1.2025 11.30.20,System.Runtime,Gen 1 Size (B),Metric,193408
31.1.2025 11.30.20,System.Runtime,Gen 2 Size (B),Metric,215872
31.1.2025 11.30.20,System.Runtime,LOH Size (B),Metric,24
31.1.2025 11.30.20,System.Runtime,POH (Pinned Object Heap) Size (B),Metric,56320
31.1.2025 11.30.20,System.Runtime,Number of Assemblies Loaded,Metric,155
31.1.2025 11.30.20,System.Runtime,IL Bytes Jitted (B),Metric,78434
31.1.2025 11.30.20,System.Runtime,Number of Methods Jitted,Metric,1057
31.1.2025 11.30.21,System.Runtime,CPU Usage (%),Metric,0
31.1.2025 11.30.21,System.Runtime,Working Set (MB),Metric,39
31.1.2025 11.30.21,System.Runtime,GC Heap Size (MB),Metric,2
